Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,89511.000000,91242.000000,87025.000000,88115.000000,88115.000000,22454500
2018-12-10,88115.000000,88384.000000,85583.000000,87450.000000,87450.000000,20686900
2018-12-17,87448.000000,88101.000000,84756.000000,85697.000000,85697.000000,25783700
2018-12-24,85684.000000,88044.000000,83892.000000,87887.000000,87887.000000,10825100
2018-12-31,87887.000000,92701.000000,87536.000000,91841.000000,91841.000000,17003700
2019-01-07,91845.000000,93987.000000,91064.000000,93658.000000,93658.000000,24244000
2019-01-14,93645.000000,96396.000000,93335.000000,96097.000000,96097.000000,23408900
2019-01-21,96093.000000,97677.000000,94662.000000,97677.000000,97677.000000,11993000
2019-01-28,97674.000000,98405.000000,94783.000000,97861.000000,97861.000000,28889300
2019-02-04,97861.000000,98589.000000,93424.000000,95343.000000,95343.000000,25425200
2019-02-11,95351.000000,98238.000000,93737.000000,97526.000000,97526.000000,24305300
2019-02-18,97527.000000,98544.000000,95793.000000,97886.000000,97886.000000,23815200
2019-02-25,97881.000000,98190.000000,94394.000000,94604.000000,94604.000000,21209000
2019-03-04,94604.000000,95476.000000,93305.000000,95365.000000,95365.000000,10873800
2019-03-11,95384.000000,99393.000000,95384.000000,99137.000000,99137.000000,21617400
2019-03-18,99141.000000,100439.000000,93380.000000,93735.000000,93735.000000,25390700
2019-03-25,93735.000000,95863.000000,91584.000000,95415.000000,95415.000000,24762900
2019-04-01,95423.000000,97493.000000,94124.000000,97108.000000,97108.000000,19550800
2019-04-08,97110.000000,97610.000000,92516.000000,92875.000000,92875.000000,21981500
2019-04-15,92875.000000,95140.000000,92338.000000,94578.000000,94578.000000,20603300
2019-04-22,94578.000000,96563.000000,93721.000000,96236.000000,96236.000000,20789800
2019-04-29,96254.000000,97123.000000,95312.000000,96008.000000,96008.000000,15332400
2019-05-06,95992.000000,96312.000000,92750.000000,94258.000000,94258.000000,21290000
2019-05-13,94252.000000,94252.000000,89409.000000,89993.000000,89993.000000,24412600
2019-05-20,90006.000000,95212.000000,89822.000000,93628.000000,93628.000000,21522000
2019-05-27,93626.000000,97992.000000,93626.000000,97030.000000,97030.000000,22974700
2019-06-03,97036.000000,98326.000000,95686.000000,97821.000000,97821.000000,20383700
2019-06-10,97828.000000,99364.000000,96782.000000,98040.000000,98040.000000,28234100
2019-06-17,98038.000000,102100.000000,97623.000000,102013.000000,102013.000000,18352900
2019-06-24,102018.000000,102617.000000,99421.000000,100967.000000,100967.000000,21277400
2019-07-01,100973.000000,104176.000000,100073.000000,104089.000000,104089.000000,18351500
2019-07-08,104090.000000,106650.000000,103903.000000,103906.000000,103906.000000,19909300
2019-07-15,103909.000000,104773.000000,103361.000000,103452.000000,103452.000000,20184900
2019-07-22,103452.000000,104570.000000,102196.000000,102819.000000,102819.000000,23333500
2019-07-29,102817.000000,104056.000000,100950.000000,102674.000000,102674.000000,24745900
2019-08-05,102658.000000,104848.000000,99630.000000,103996.000000,103996.000000,25733400
2019-08-12,103946.000000,103946.000000,98200.000000,99806.000000,99806.000000,28262500
2019-08-19,99810.000000,101469.000000,97085.000000,97667.000000,97667.000000,26293200
2019-08-26,97687.000000,101551.000000,95855.000000,101135.000000,101135.000000,26342200
2019-09-02,101133.000000,103258.000000,99406.000000,102935.000000,102935.000000,15786400
2019-09-09,102937.000000,104699.000000,102231.000000,103501.000000,103501.000000,24874600
